Date,AYRO,CENN,EVTV,FUV,GOEV,GP,KNDI,LCID,LI,NIO,PEV,PSNY,REE,RIVN,TSLA,VFS,VLCN,WKHS,XOS,XPEV,ZAPP
2004-03-19,1898265.625,,,,,,,,,,,,,,,,,,,,
2004-03-22,1809561.625,,,,,,,,,,,,,,,,,,,,
2004-03-23,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-03-24,1791820.75,,,,,,,,,,,,,,,,,,,,
2004-03-25,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-03-26,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-03-29,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-03-30,1738598.375,,,,,,,,,,,,,,,,,,,,
2004-03-31,1720857.625,,,,,,,,,,,,,,,,,,,,
2004-04-01,1720857.625,,,,,,,,,,,,,,,,,,,,
2004-04-02,1614412.75,,,,,,,,,,,,,,,,,,,,
2004-04-05,1756339.25,,,,,,,,,,,,,,,,,,,,
2004-04-06,1791820.75,,,,,,,,,,,,,,,,,,,,
2004-04-07,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-04-08,1933747.25,,,,,,,,,,,,,,,,,,,,
2004-04-12,1845043.25,,,,,,,,,,,,,,,,,,,,
2004-04-13,1916006.375,,,,,,,,,,,,,,,,,,,,
2004-04-14,2128896.0,,,,,,,,,,,,,,,,,,,,
2004-04-15,2377267.25,,,,,,,,,,,,,,,,,,,,
2004-04-16,2306304.0,,,,,,,,,,,,,,,,,,,,
2004-04-19,2412748.75,,,,,,,,,,,,,,,,,,,,
2004-04-20,2182118.5,,,,,,,,,,,,,,,,,,,,
2004-04-21,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-04-22,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-04-23,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-04-26,2075673.625,,,,,,,,,,,,,,,,,,,,
2004-04-27,2075673.625,,,,,,,,,,,,,,,,,,,,
2004-04-28,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-04-29,2093414.375,,,,,,,,,,,,,,,,,,,,
2004-04-30,2022451.25,,,,,,,,,,,,,,,,,,,,
2004-05-03,2004710.375,,,,,,,,,,,,,,,,,,,,
2004-05-04,1951488.0,,,,,,,,,,,,,,,,,,,,
2004-05-05,2057932.75,,,,,,,,,,,,,,,,,,,,
2004-05-06,1951488.0,,,,,,,,,,,,,,,,,,,,
2004-05-07,1862784.0,,,,,,,,,,,,,,,,,,,,
2004-05-10,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-05-11,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-05-12,1809561.625,,,,,,,,,,,,,,,,,,,,
2004-05-13,1845043.25,,,,,,,,,,,,,,,,,,,,
2004-05-14,1809561.625,,,,,,,,,,,,,,,,,,,,
2004-05-17,1774080.0,,,,,,,,,,,,,,,,,,,,
2004-05-18,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-05-19,1827302.375,,,,,,,,,,,,,,,,,,,,
2004-05-20,1685376.0,,,,,,,,,,,,,,,,,,,,
2004-05-21,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-05-24,1507968.0,,,,,,,,,,,,,,,,,,,,
2004-05-25,1472486.375,,,,,,,,,,,,,,,,,,,,
2004-05-26,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-05-27,1507968.0,,,,,,,,,,,,,,,,,,,,
2004-05-28,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-06-01,1454745.625,,,,,,,,,,,,,,,,,,,,
2004-06-02,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-06-03,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-06-04,1561190.375,,,,,,,,,,,,,,,,,,,,
2004-06-07,1862784.0,,,,,,,,,,,,,,,,,,,,
2004-06-08,1685376.0,,,,,,,,,,,,,,,,,,,,
2004-06-09,1507968.0,,,,,,,,,,,,,,,,,,,,
2004-06-10,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-06-14,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-06-15,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-06-16,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-06-17,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-06-18,1561190.375,,,,,,,,,,,,,,,,,,,,
2004-06-21,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-06-22,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-06-23,1525708.75,,,,,,,,,,,,,,,,,,,,
2004-06-24,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-06-25,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-06-28,1472486.375,,,,,,,,,,,,,,,,,,,,
2004-06-29,1472486.375,,,,,,,,,,,,,,,,,,,,
2004-06-30,1437004.75,,,,,,,,,,,,,,,,,,,,
2004-07-01,1437004.75,,,,,,,,,,,,,,,,,,,,
2004-07-02,1437004.75,,,,,,,,,,,,,,,,,,,,
2004-07-06,1437004.75,,,,,,,,,,,,,,,,,,,,
2004-07-07,1437004.75,,,,,,,,,,,,,,,,,,,,
2004-07-08,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-07-09,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-07-12,1596672.0,,,,,,,,,,,,,,,,,,,,
